"Status","Name","Duration in ms","Description"
"passed","Paid blocks Mailchimp Block.Can publish a post with a Mailchimp Block","15599",""
"passed","Paid blocks Simple Payment.Can publish a post with a Simple Payments block","10051",""
"passed","Jetpack connection.Can find connect button on plugins page","3552",""
"passed","Free blocks Pinterest block.Can publish a post with a Pinterest block","11202",""
"passed","Jetpack connection.Can find connect button on dashboard page","935",""
"passed","Free blocks Eventbrite block.Can publish a post with a Eventbrite block","8397",""
"passed","Paid blocks WordAds block.Can publish a post with a WordAds block","5033",""
"passed","Jetpack connection.Can find connect button on Jetpack page","1668",""
