"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 09 08:00:32 GMT 2020","Thu Apr 09 08:00:32 GMT 2020","6","","what2","","what2","C12","C12",""
"passed","Thu Apr 09 08:00:31 GMT 2020","Thu Apr 09 08:00:32 GMT 2020","211","","what","","what","C2","C2",""
"failed","Thu Apr 09 08:00:31 GMT 2020","Thu Apr 09 08:00:31 GMT 2020","266","","what","","what","C1","C1",""
